Pokemon,EV Yield
Skarmory,2 Defense
Skeledirge,3 Sp. Atk
Skiddo,1 HP
Skiploom,2 Speed
Skitty,1 Speed
Skorupi,1 Defense
Skrelp,1 Sp. Def
Skuntank,2 HP
Skwovet,1 HP
Slaking,3 HP
Slakoth,1 HP
Sliggoo,2 Sp. Def
Hisuian Sliggoo,2 Sp. Def
Slither Wing,3 Attack
Slowbro,2 Defense
Mega Slowbro,2 Defense
Galarian Slowbro,2 Attack
Slowking,2 Sp. Def
Galarian Slowking,2 Sp. Def
Slowpoke,1 HP
Galarian Slowpoke,1 HP
Slugma,1 Sp. Atk
Slurpuff,2 Defense
Smeargle,1 Speed
Smoliv,1 Sp. Atk
Smoochum,1 Sp. Atk
Sneasel,1 Speed
Hisuian Sneasel,1 Speed
Sneasler,2 Attack
Snivy,1 Speed
Snom,1 Sp. Atk
Snorlax,2 HP
Snorunt,1 HP
Snover,1 Attack
Snubbull,1 Attack
Sobble,"1 Sp. Def, 1 Speed"
Solgaleo,3 Attack
Solosis,1 Sp. Atk
Solrock,2 Attack
Spearow,1 Speed
Spectrier,3 Sp. Atk
Spewpa,2 Defense
Spheal,1 HP
Spidops,2 Defense
Spinarak,1 Attack
Spinda,1 Sp. Atk
Spiritomb,"1 Defense, 1 Sp. Def"
Spoink,1 Sp. Def
Sprigatito,1 Speed
Spritzee,1 HP
Squawkabilly Green Plumage,1 Attack
Squawkabilly Blue Plumage,1 Attack
Squawkabilly Yellow Plumage,1 Attack
Squawkabilly White Plumage,1 Attack
Squirtle,1 Defense
Stakataka,3 Defense
Stantler,1 Attack
Staraptor,3 Attack
Staravia,2 Speed
Starly,1 Speed
Starmie,2 Speed
Staryu,1 Speed
Steelix,2 Defense
Mega Steelix,2 Defense
Steenee,2 Speed
Stonjourner,2 Defense
Stoutland,3 Attack
Stufful,1 Attack
Stunfisk,2 HP
Galarian Stunfisk,2 HP
Stunky,1 Speed
Sudowoodo,2 Defense
Suicune,"1 Defense, 2 Sp. Def"
Sunflora,2 Sp. Atk
Sunkern,1 Sp. Atk
Surskit,1 Speed
Swablu,1 Sp. Def
Swadloon,2 Defense
Swalot,2 HP
Swampert,3 Attack
Mega Swampert,3 Attack
Swanna,2 Speed
Swellow,2 Speed
Swinub,1 Attack
Swirlix,1 Defense
Swoobat,2 Speed
Sylveon,2 Sp. Def
Tadbulb,1 HP
Taillow,1 Speed
Talonflame,3 Speed
Tandemaus,1 Speed
Tangela,1 Defense
Tangrowth,2 Defense
Tapu Bulu,3 Attack
Tapu Fini,3 Sp. Def
Tapu Koko,3 Speed
Tapu Lele,3 Sp. Atk
Tarountula,1 Defense
Tatsugiri Curly Form,2 Sp. Atk
Tatsugiri Droopy Form,2 Sp. Atk
Tatsugiri Stretchy Form,2 Sp. Atk
Tauros,"1 Attack, 1 Speed"
Tauros Combat Breed,2 Attack
Tauros Blaze Breed,2 Attack
Tauros Aqua Breed,2 Attack
Teddiursa,1 Attack
Tentacool,1 Sp. Def
Tentacruel,2 Sp. Def
Tepig,1 HP
Terapagos Normal Form,1 Defense
Terapagos Terastal Form,"2 Defense, 2 Sp. Def"
Terapagos Stellar Form,3 HP
Terrakion,3 Attack
Thievul,2 Sp. Def
Throh,2 HP
Thundurus Incarnate Forme,3 Attack
Thundurus Therian Forme,3 Sp. Atk
Thwackey,2 Attack
Timburr,1 Attack
Ting-Lu,3 Defense
Tinkatink,1 Sp. Def
Tinkaton,3 Sp. Def
Tinkatuff,2 Sp. Def
Tirtouga,1 Defense
Toedscool,1 Sp. Def
Toedscruel,2 Sp. Def
Togedemaru,2 Attack
Togekiss,"2 Sp. Atk, 1 Sp. Def"
Togepi,1 Sp. Def
Togetic,2 Sp. Def
Torchic,1 Sp. Atk
Torkoal,2 Defense
Tornadus Incarnate Forme,3 Attack
Tornadus Therian Forme,3 Speed
Torracat,2 Speed
Torterra,"2 Attack, 1 Defense"
Totodile,1 Attack
Toucannon,3 Attack
Toxapex,2 Defense
Toxel,1 Sp. Atk
Toxicroak,2 Attack
Toxtricity Amped Form,2 Sp. Atk
Toxtricity Low Key Form,2 Sp. Atk
Tranquill,2 Attack
Trapinch,1 Attack
Treecko,1 Speed
Trevenant,2 Attack
Tropius,2 HP
Trubbish,1 Speed
Trumbeak,2 Attack
Tsareena,3 Attack
Turtonator,2 Defense
Turtwig,1 Attack
Tympole,1 Speed
Tynamo,1 Speed
Type: Null,2 HP
Typhlosion,3 Sp. Atk
Hisuian Typhlosion,3 Sp. Atk
Tyranitar,3 Attack
Mega Tyranitar,3 Attack
Tyrantrum,2 Attack
Tyrogue,1 Attack
Tyrunt,1 Attack
Umbreon,2 Sp. Def
Unfezant,3 Attack
Unown,"1 Attack, 1 Sp. Atk"
Ursaluna,3 Attack
Ursaluna Bloodmoon,3 Sp. Atk
Ursaring,2 Attack
Urshifu Single Strike Style,3 Attack
Urshifu Rapid Strike Style,3 Attack
Uxie,"2 Defense, 1 Sp. Def"
Vanillish,2 Sp. Atk
Vanillite,1 Sp. Atk
Vanilluxe,3 Sp. Atk
Vaporeon,2 HP
Varoom,1 Attack
Veluza,2 Attack
Venipede,1 Defense
Venomoth,"1 Sp. Atk, 1 Speed"
Venonat,1 Sp. Def
Venusaur,"2 Sp. Atk, 1 Sp. Def"
Mega Venusaur,"2 Sp. Atk, 1 Sp. Def"
Vespiquen,"1 Defense, 1 Sp. Def"
Vibrava,"1 Attack, 1 Speed"
Victini,3 HP
Victreebel,3 Attack
Vigoroth,2 Speed
Vikavolt,3 Sp. Atk
Vileplume,3 Sp. Atk
Virizion,3 Sp. Def
Vivillon,"1 HP, 1 Sp. Atk, 1 Speed"
Volbeat,1 Speed
Volcanion,3 Sp. Atk
Volcarona,3 Sp. Atk
Voltorb,1 Speed
Hisuian Voltorb,1 Speed
Vullaby,1 Defense
Vulpix,1 Speed
Alolan Vulpix,1 Speed
Wailmer,1 HP
Wailord,2 HP
Walking Wake,3 Sp. Atk
Walrein,3 HP
Wartortle,"1 Defense, 1 Sp. Def"
Watchog,2 Attack
Wattrel,1 Speed
Weavile,"1 Attack, 1 Speed"
Weedle,1 Speed
Weepinbell,2 Attack
Weezing,2 Defense
Galarian Weezing,2 Defense
Whimsicott,2 Speed
Whirlipede,2 Defense
Whiscash,2 HP
Whismur,1 HP
Wigglytuff,3 HP
Wiglett,1 Speed
Wimpod,1 Speed
Wingull,1 Speed
Wishiwashi Solo Form,1 HP
Wishiwashi School Form,1 HP
Wo-Chien,3 Sp. Def
Wobbuffet,2 HP
Woobat,1 Speed
Wooloo,1 Defense
Wooper,1 HP
Paldean Wooper,1 HP
Wormadam Plant Cloak,2 Sp. Def
Wormadam Sandy Cloak,2 Defense
Wormadam Trash Cloak,"1 Defense, 1 Sp. Def"
Wugtrio,2 Speed
Wurmple,1 HP
Wynaut,1 HP
Wyrdeer,"1 Attack, 1 Sp. Atk"
Xatu,"1 Sp. Atk, 1 Speed"
Xerneas,3 HP
Xurkitree,3 Sp. Atk
Yamask,1 Defense
Galarian Yamask,1 Defense
Yamper,1 HP
Yanma,1 Speed
Yanmega,2 Attack
Yungoos,1 Attack
Yveltal,3 HP
Zacian Hero of Many Battles,3 Speed
Zacian Crowned Sword,3 Speed
Zamazenta Hero of Many Battles,3 Speed
Zamazenta Crowned Shield,3 Speed
Zangoose,2 Attack
Zapdos,3 Sp. Atk
Galarian Zapdos,3 Attack
Zarude,3 Attack
Zebstrika,2 Speed
Zekrom,3 Attack
Zeraora,3 Speed
Zigzagoon,1 Speed
Galarian Zigzagoon,1 Speed
Zoroark,2 Sp. Atk
Hisuian Zoroark,2 Sp. Atk
Zorua,1 Sp. Atk
Hisuian Zorua,1 Sp. Atk
Zubat,1 Speed
Zweilous,2 Attack
Zygarde 50% Forme,3 HP
Zygarde 10% Forme,3 HP
Zygarde Complete Forme,3 HP
